index,filename,latency_s,num_detections,warmup
428,000000048564.jpg,0.7340636320000158,2,False
430,000000049060.jpg,0.7283874409999953,4,False
432,000000049259.jpg,0.7438245919997826,1,False
433,000000049269.jpg,0.7331427350000013,2,False
434,000000049759.jpg,0.746191915000054,16,False
435,000000049761.jpg,0.7293736090000493,5,False
436,000000049810.jpg,0.74029383900006,2,False
438,000000050145.jpg,0.7274700970001504,5,False
439,000000050149.jpg,0.7363712580004176,7,False
440,000000050165.jpg,0.7274395180002102,1,False
442,000000050331.jpg,0.7223608250001234,2,False
443,000000050380.jpg,0.7437209559998337,7,False
444,000000050638.jpg,0.7270078030001059,1,False
445,000000050679.jpg,0.7456459489999361,6,False
446,000000050811.jpg,0.7274328120001883,5,False
447,000000050828.jpg,0.7423610399996505,2,False
448,000000050844.jpg,0.7256212199999936,2,False
449,000000050896.jpg,0.7499626369999532,10,False
450,000000050943.jpg,0.7257679019999159,1,False
451,000000051008.jpg,0.7468792429999667,2,False
453,000000051314.jpg,0.7261492200000248,2,False
455,000000051598.jpg,0.7233879860000343,1,False
456,000000051610.jpg,0.7472306319996278,2,False
457,000000051712.jpg,0.7246175559998846,2,False
459,000000051938.jpg,0.7391277329998047,5,False
460,000000051961.jpg,0.7199592070001017,1,False
461,000000051976.jpg,0.7386365180000212,2,False
462,000000052007.jpg,0.7262239909996424,5,False
464,000000052412.jpg,0.7197472329999073,1,False
465,000000052413.jpg,0.7483284770000864,4,False
467,000000052507.jpg,0.7252158679998502,2,False
468,000000052565.jpg,0.763394174000041,1,False
470,000000052891.jpg,0.7437366009999096,2,False
471,000000052996.jpg,0.7309140130000742,9,False
472,000000053505.jpg,0.7411648319998676,5,False
473,000000053529.jpg,0.7257659100000637,3,False
474,000000053624.jpg,0.7401605159998326,5,False
475,000000053626.jpg,0.7251675799998338,6,False
476,000000053909.jpg,0.7437435000001642,1,False
478,000000054123.jpg,0.7256534060002195,4,False
479,000000054164.jpg,0.7785017619999053,2,False
481,000000054593.jpg,0.7456552600001487,8,False
482,000000054605.jpg,0.7269135400001687,10,False
483,000000054628.jpg,0.7388698149998163,5,False
484,000000054654.jpg,0.724845612000081,1,False
485,000000054931.jpg,0.739235262999955,2,False
486,000000054967.jpg,0.7256662019999567,13,False
488,000000055022.jpg,0.7407571779999671,3,False
490,000000055150.jpg,0.7398113379999813,10,False
491,000000055167.jpg,0.7306342809997659,6,False
492,000000055299.jpg,0.7412335280000661,1,False
493,000000055528.jpg,0.7303612099999555,3,False
494,000000055950.jpg,0.7372304679997796,3,False
495,000000056127.jpg,0.7276064739999129,2,False
496,000000056288.jpg,0.7408245819997319,3,False
497,000000056344.jpg,0.7295395480000479,5,False
498,000000056350.jpg,0.7449229279995961,3,False
499,000000056545.jpg,0.7299835489998259,1,False
501,000000057149.jpg,0.7335770699996829,3,False
502,000000057150.jpg,0.7237381899999491,7,False
504,000000057238.jpg,0.7228176759999769,3,False
505,000000057244.jpg,0.7454385609999008,1,False
506,000000057597.jpg,0.7261280359998636,7,False
507,000000057672.jpg,0.7504331360000833,12,False
508,000000057725.jpg,0.7318294460001198,2,False
509,000000057760.jpg,0.7495116430000053,6,False
511,000000058111.jpg,0.7560408730000745,1,False
513,000000058384.jpg,0.7229123170000094,3,False
514,000000058393.jpg,0.7340261720000854,1,False
516,000000058636.jpg,0.7211605449997478,0,False
518,000000058705.jpg,0.7240681449998192,4,False
520,000000059386.jpg,0.7186812579998332,6,False
522,000000059635.jpg,0.7426577390001512,21,False
523,000000059920.jpg,0.7240345830000479,2,False
524,000000060052.jpg,0.7457739910000782,2,False
525,000000060090.jpg,0.7229625599998144,2,False
526,000000060102.jpg,0.7822213350000311,3,False
528,000000060363.jpg,0.7302864449998197,1,False
530,000000060507.jpg,0.7250148799998897,7,False
532,000000060823.jpg,0.7298705399998653,15,False
533,000000060835.jpg,0.7381341579998661,1,False
535,000000060886.jpg,0.7214066629999252,11,False
537,000000060932.jpg,0.7331131880000612,8,False
538,000000061108.jpg,0.742997232000107,4,False
539,000000061171.jpg,0.7294466469998042,5,False
540,000000061268.jpg,0.7452367760001835,2,False
541,000000061333.jpg,0.7247723000000406,3,False
543,000000061471.jpg,0.7431264300003022,3,False
545,000000061658.jpg,0.7426547059999393,4,False
546,000000061747.jpg,0.7249197370001639,2,False
548,000000062025.jpg,0.7490858469996056,5,False
550,000000062355.jpg,0.7308712139997624,6,False
551,000000062554.jpg,0.7272880969999278,2,False
552,000000062692.jpg,0.7417686439998761,1,False
553,000000062808.jpg,0.7302173889997903,7,False
554,000000063047.jpg,0.7424288839997644,5,False
555,000000063154.jpg,0.7226854400000775,2,False
556,000000063552.jpg,0.7432379880001463,1,False
557,000000063602.jpg,0.7312464229999023,2,False
558,000000063740.jpg,0.7413734520000617,9,False
559,000000063965.jpg,0.7261094370001047,4,False
560,000000064084.jpg,0.7454205049998563,8,False
561,000000064359.jpg,0.7263751590003267,7,False
562,000000064462.jpg,0.7515879949996815,2,False
564,000000064499.jpg,0.728333166000084,1,False
565,000000064523.jpg,0.7290990899996359,13,False
566,000000064574.jpg,0.722240982999665,0,False
568,000000064868.jpg,0.7182422129999395,3,False
569,000000064898.jpg,0.7417734840000776,4,False
570,000000065074.jpg,0.719353606000368,1,False
572,000000065350.jpg,0.7398838940002861,4,False
574,000000065485.jpg,0.7383237359999839,2,False
575,000000065736.jpg,0.7297132250000686,3,False
576,000000065798.jpg,0.7425198440000713,4,False
578,000000066135.jpg,0.7168510670003343,1,False
580,000000066523.jpg,0.7188386860002538,1,False
582,000000066635.jpg,0.7260426500001813,3,False
584,000000066771.jpg,0.7438911509998434,9,False
585,000000066817.jpg,0.7441602690000764,2,False
586,000000066841.jpg,0.743595606999861,3,False
588,000000066926.jpg,0.7451930240004003,10,False
590,000000067213.jpg,0.7225072390001515,9,False
591,000000067310.jpg,0.7349960010001269,5,False
593,000000067406.jpg,0.7420534739999312,4,False
595,000000067616.jpg,0.722827210000105,12,False
596,000000067896.jpg,0.7397533779999321,1,False
597,000000068078.jpg,0.7324229500000001,4,False
598,000000068093.jpg,0.7311753500002851,5,False
599,000000068286.jpg,0.7243126950002079,1,False
600,000000068387.jpg,0.7427124370001366,5,False
601,000000068409.jpg,0.7293242380001175,8,False
603,000000068765.jpg,0.7298243709997223,3,False
604,000000068833.jpg,0.7425122669997108,5,False
605,000000068933.jpg,0.7269986510000308,3,False
606,000000069106.jpg,0.7423534909999034,3,False
607,000000069138.jpg,0.728363839999929,2,False
608,000000069213.jpg,0.7451741999998376,6,False
610,000000069356.jpg,0.7235129189998588,5,False
612,000000070048.jpg,0.7275184069999341,5,False
614,000000070229.jpg,0.7325772550002512,1,False
616,000000070739.jpg,0.7430604210003366,3,False
617,000000070774.jpg,0.7228940229997534,1,False
618,000000071226.jpg,0.7369254989998808,5,False
620,000000071711.jpg,0.7243138129997533,7,False
621,000000071756.jpg,0.7305723919998854,1,False
622,000000071877.jpg,0.7244228860004114,2,False
623,000000071938.jpg,0.7383814569998322,2,False
624,000000072281.jpg,0.723860636000154,2,False
626,000000072813.jpg,0.7248900119998325,2,False
628,000000073118.jpg,0.7297925610000675,1,False
629,000000073153.jpg,0.7248618710000301,1,False
630,000000073326.jpg,0.7318509809997522,7,False
632,000000073702.jpg,0.7417346359998191,4,False
633,000000073946.jpg,0.7287480830000277,3,False
634,000000074058.jpg,0.7433074109999325,8,False
635,000000074092.jpg,0.7264322979999633,6,False
636,000000074200.jpg,0.7468692960001135,5,False
637,000000074209.jpg,0.7272448789999544,4,False
638,000000074256.jpg,0.7457602519998545,5,False
639,000000074457.jpg,0.7233862060002139,2,False
640,000000074646.jpg,0.7470612390002316,3,False
641,000000074733.jpg,0.7325961470000948,13,False
642,000000074860.jpg,0.748719347000133,2,False
643,000000075393.jpg,0.7258449169999039,0,False
644,000000075456.jpg,0.7709512810001797,1,False
645,000000075612.jpg,0.7269831230000818,14,False
646,000000076211.jpg,0.7342998019998959,1,False
